id,player_name,overall_rating,birthday,height,weight
30981,Lionel Messi,93.42857142857143,24-06-1987,170.18,159
30893,Cristiano Ronaldo,92.6,05-02-1985,185.42,176
30834,Arjen Robben,90.0,23-01-1984,180.34,176
27299,Manuel Neuer,90.0,27-03-1986,193.04,203
40636,Luis Suarez,89.28571428571429,24-01-1987,182.88,187
35724,Zlatan Ibrahimovic,89.0,03-10-1981,195.58,209
19533,Neymar,88.5,05-02-1992,175.26,150
107417,Eden Hazard,88.4,07-01-1991,172.72,163
30955,Andres Iniesta,88.0,11-05-1984,170.18,150
30924,Franck Ribery,87.5,07-04-1983,170.18,159
